Gender,Age_range,Status,Occupation,Monthly_income,Daily_usage_duration,Smartphone_importance,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Frequent_apps,Top3_smartphone_activities,Current_brand
Male,26-32,Single,Government officer,15001-20000,3-5 hours,Not necessary,Product feature,4,Unable to inspect product,Discord,"Product photography, Edit reviews, Online marketplace",Oppo
Female,26-32,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,5,Unable to inspect product,Facebook,"Play games, Take photos/videos, Social media",Vivo
Male,33-40,Single,Factory worker,15001-20000,0-1 hours,Necessary,Product feature,4,Delivery delay,Instagram,"Watch movies/listen to music, Play games",Oppo
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Email, , Finance",Xiaomi
Male,41-50,Single,Business owner,15001-20000,,Necessary,Price,1,Concerns about payment security,"Instagram, Facebook, TikTok",Watch movies/listen to music,Apple
Female,33-40,Single,Business owner,15001-20000,,Most necessary,Product feature,5,Unable to inspect product,Facebook,"Product photography, Edit reviews, Online marketplace",Realme
Male,33-40,Single,Business owner,20001-30000,1-3 hours,Most necessary,Product feature,2,Concerns about payment security,SET,"Watch movies/listen to music, Play games, Take photos",Xiaomi
Female,18-25,Single,Private company employee,More than 50001,0-1 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Play games, Streaming, Social media",Apple
Male,26-32,Single,Business owner,15001-20000,,Most necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, TikTok","Watch movies/listen to music, Play games, Take photos/videos",Apple
Female,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Product review,3,Concerns about payment security,"Instagram, Facebook, Facebook Messenger, TikTok","Take photos, Listen to music, Social media",Apple
Female,60+,Single,Factory worker,15001-20000,1-3 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","Watch movies, Take photos, Listen to music",Realme
Female,18-25,Married,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, TikTok","Watch movies/listen to music, Play games, Cloud apps",Realme 7 5G
Female,18-25,Single,Private company employee,15001-20000,,Not necessary,Price,5,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Play games, Streaming, Take photos/videos",Apple
Male,33-40,Single,Private company employee,20001-30000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,Gmail,"Watch movies/listen to music, Play games, Cloud apps",Vivo
Male,26-32,Married,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,2,Delivery delay,"Facebook, YouTube, Facebook Messenger, TikTok","/, Email, Finance",Apple
Female,33-40,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Read news, Check stocks, Finance",Redmi
Female,60+,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","TikTok, Livestream, Search information",Infinix
Female,60+,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,2,Warranty or service concerns,Microsoft Teams,"Cloud apps, Communication/meetings, Social media",Xiaomi
Female,60+,Single,Student,30001-40000,,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok","Take photos/videos, Watch movies/Listen to music, Online shopping",Oppo
Male,33-40,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product review,2,Concerns about payment security,Instagram,"Play games, Take photos/videos",Samsung
Female,18-25,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,3,Warranty or service concerns,LINE,"Watch movies/listen to music, Social media",Realme 7 5G
Female,60+,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Play games, Take photos/videos, Cloud apps",Apple
Female,26-32,Single,Government officer,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,Google Maps,"Communication, Take photos, Social media",Realme 7 5G
Female,33-40,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,4,Concerns about payment security,Shopee,"Watch movies/listen to music, Play games, Social media",Vivo
Female,60+,Single,Student,More than 50001,0-1 hours,Necessary,Product review,2,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Watch movies, Take photos, Listen to music",Oppo
Female,26-32,Single,Business owner,15001-20000,,Not necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, YouTube","Read news, Check stocks, Finance",Realme 7 5G
Male,26-32,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,5,Unable to inspect product,Microsoft Teams,"Play esports, Stream games, Community chat",Oppo
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,2,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Play games, Take photos/videos",Oppo
Female,60+,Single,Student,15001-20000,More than 5 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook, YouTube, TikTok","Play games, Take photos, Watch movies",Samsung
Male,60+,Single,Factory worker,20001-30000,0-1 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Spotify, TikTok","Play games, Take photos/videos, Social media",Huawei
Female,26-32,Single,Private company employee,15001-20000,,Not necessary,Product feature,4,Concerns about payment security,"Facebook, Facebook Messenger, Spotify","Watch movies/listen to music, Play games",Realme
Male,33-40,Married,Private company employee,20001-30000,1-3 hours,Most necessary,Product feature,5,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, TikTok","Play games, Streaming, Social media",Vivo
Male,26-32,Single,Government officer,15001-20000,1-3 hours,Not necessary,Product feature,4,Unable to inspect product,"Facebook, YouTube","GPS navigation, Check car condition, Listen to podcasts",Realme
Male,26-32,Single,Business owner,15001-20000,1-3 hours,Most necessary,Product feature,4,Unable to inspect product,Google Maps,"Communication, Take photos, Social media",Realme 7 5G
Male,26-32,Married,Business owner,More than 50001,1-3 hours,Necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Track delivery, Customer chat, Email",Oppo
Male,33-40,Single,Business owner,15001-20000,0-1 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, TikTok","Chat with family, Read e-books, Listen to radio",Realme
Male,18-25,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product review,5,Unable to inspect product,LINE,"Read news, Check stocks, Finance",Realme
Male,26-32,Married,Business owner,30001-40000,1-3 hours,Not necessary,Product review,3,Unable to inspect product,Shopee,"Watch movies/listen to music, Play games, Take photos",Samsung
Female,26-32,Married,Student,20001-30000,3-5 hours,Most necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","/, Email, Finance",Realme
Female,60+,Married,Private company employee,15001-20000,1-3 hours,Not necessary,Product review,4,Unable to inspect product,VSCO,Play games,Huawei
Female,33-40,Single,Student,15001-20000,,Most necessary,Product feature,4,Concerns about payment security,"Instagram, YouTube, Spotify, Telegram","Watch movies/listen to music, Social media",Huawei
Male,26-32,Single,Private company employee,15001-20000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Watch movies/listen to music, Play games, Social media",Xiaomi
Female,26-32,Single,Private company employee,More than 50001,,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, TikTok","Play games, Take photos/videos, Social media",Oppo
Female,26-32,Single,Government officer,15001-20000,0-1 hours,Necessary,Product feature,3,Unable to inspect product,"Facebook, TikTok, Line","Product photography, Edit reviews, Online marketplace",Apple
Male,18-25,Single,Private company employee,More than 50001,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Samsung
Male,60+,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, TikTok","Streaming, Take photos/videos, Edit video",Realme
Female,60+,Single,Business owner,More than 50001,1-3 hours,Necessary,Product feature,3,Unable to inspect product,YouTube,"Take photos, Listen to music, Social media",Apple
Male,33-40,Married,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,4,Warranty or service concerns,"Instagram, YouTube, TikTok","Play games, Streaming, Take photos/videos",Vivo
Female,33-40,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Xiaomi
Male,41-50,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Price,3,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Take photos, Watch movies",Redmi
Female,60+,Single,Private company employee,30001-40000,,Most necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, TikTok",Watch movies/listen to music,Samsung
Female,60+,Single,Private company employee,30001-40000,1-3 hours,Most necessary,Product feature,5,Unable to inspect product,Facebook,"Watch movies/listen to music, Play games, Cloud apps",Samsung
Female,41-50,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,4,Unable to inspect product,Instagram,"Communication/meetings, Social media",Vivo
Male,41-50,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,LINE,"GPS navigation, Check car condition, Listen to podcasts",Oppo
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product review,3,Unable to inspect product,Microsoft Teams,"Watch movies/listen to music, Take photos/videos, Social media",Infinix
Male,26-32,Single,Private company employee,30001-40000,0-1 hours,Not necessary,Product feature,1,Concerns about payment security,TikTok,"Watch movies/listen to music, Communication/meetings, Social media",Samsung
Female,18-25,Married,Private company employee,15001-20000,,Not necessary,Product feature,4,Unable to inspect product,"Facebook, YouTube, Facebook Messenger","Watch movies/listen to music, Play games",Oppo
Female,41-50,Single,Government officer,More than 50001,0-1 hours,Most necessary,Product feature,3,Unable to inspect product,Gmail,"Watch movies/listen to music, Play games, Social media",Oppo
Male,26-32,Single,Business owner,20001-30000,1-3 hours,Not necessary,Product feature,1,Warranty or service concerns,TikTok,"Watch movies/listen to music, Take photos/videos, Communication/meetings",Vivo
Male,41-50,Single,Business owner,30001-40000,3-5 hours,Necessary,Product feature,3,Unable to inspect product,SET,"Online shopping, Track delivery, Customer chat",Samsung
Female,26-32,Married,Private company employee,20001-30000,1-3 hours,Necessary,Product feature,2,Delivery delay,"Facebook, Facebook Messenger, Spotify","Take photos/videos, Watch movies/Listen to music, Online shopping",Vivo
Female,33-40,Single,Business owner,30001-40000,1-3 hours,Necessary,Product feature,3,Unable to inspect product,"Facebook, Facebook Messenger, Line","Communication/meetings, Social media",Samsung
Male,26-32,Single,Student,15001-20000,,Not necessary,Product review,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Watch movies, Listen to music, Take photos",Xiaomi
Male,41-50,Married,Private company employee,15001-20000,,Necessary,Product feature,5,Warranty or service concerns,WhatsApp,"GPS navigation, Check car condition, Listen to podcasts",Apple
Male,18-25,Single,Student,15001-20000,1-3 hours,Necessary,Product feature,4,Unable to inspect product,TikTok,"Play games, Take photos, Watch movies",Oppo
Female,41-50,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, TikTok","Play games, Streaming, Take photos/videos",Xiaomi
